Mode,Backend,M,N,k,MPI_Ranks,Run,ParallelTime,DistribTime,TransferTime
CUDA_Tiled,CUDA,2000,6000,128,1,3,0.002692,0.002779,0.181961
Opt_SMP,OMP,2000,2000,3,1,1,0.009126,0.000017,0.000000
Opt_SMP,OMP,2000,2000,3,1,2,0.009102,0.000018,0.000000
Opt_SMP,OMP,2000,2000,3,1,3,0.009123,0.000017,0.000000
Opt_SMP,OMP,2000,2000,6,1,1,0.012175,0.000029,0.000000
Opt_SMP,OMP,2000,2000,6,1,2,0.012267,0.000030,0.000000
Opt_SMP,OMP,2000,2000,6,1,3,0.012283,0.000028,0.000000
Opt_SMP,OMP,2000,2000,8,1,1,0.010188,0.000037,0.000000
Opt_SMP,OMP,2000,2000,8,1,2,0.010142,0.000037,0.000000
Opt_SMP,OMP,2000,2000,8,1,3,0.010112,0.000035,0.000000
Opt_SMP,OMP,2000,2000,20,1,1,0.015899,0.000076,0.000000
Opt_SMP,OMP,2000,2000,20,1,2,0.015903,0.000076,0.000000
Opt_SMP,OMP,2000,2000,20,1,3,0.015819,0.000081,0.000000
Opt_SMP,OMP,2000,2000,32,1,1,0.021870,0.000137,0.000000
Opt_SMP,OMP,2000,2000,32,1,2,0.021983,0.000226,0.000000
Opt_SMP,OMP,2000,2000,32,1,3,0.021937,0.000117,0.000000
Opt_SMP,OMP,2000,2000,64,1,1,0.038915,0.000444,0.000000
Opt_SMP,OMP,2000,2000,64,1,2,0.038885,0.000443,0.000000
Opt_SMP,OMP,2000,2000,64,1,3,0.038900,0.000478,0.000000
Opt_SMP,OMP,2000,2000,128,1,1,0.075139,0.000901,0.000000
Opt_SMP,OMP,2000,2000,128,1,2,0.075270,0.000891,0.000000
Opt_SMP,OMP,2000,2000,128,1,3,0.073138,0.000941,0.000000
Opt_SMP,OMP,2000,4000,3,1,1,0.018071,0.000044,0.000000
Opt_SMP,OMP,2000,4000,3,1,2,0.018093,0.000032,0.000000
Opt_SMP,OMP,2000,4000,3,1,3,0.018111,0.000032,0.000000
Opt_SMP,OMP,2000,4000,6,1,1,0.024166,0.000060,0.000000
Opt_SMP,OMP,2000,4000,6,1,2,0.024274,0.000064,0.000000
Opt_SMP,OMP,2000,4000,6,1,3,0.024164,0.000060,0.000000
Opt_SMP,OMP,2000,4000,8,1,1,0.019828,0.000067,0.000000
Opt_SMP,OMP,2000,4000,8,1,2,0.019790,0.000072,0.000000
Opt_SMP,OMP,2000,4000,8,1,3,0.019434,0.000067,0.000000
Opt_SMP,OMP,2000,4000,20,1,1,0.031504,0.000307,0.000000
Opt_SMP,OMP,2000,4000,20,1,2,0.031369,0.000287,0.000000
Opt_SMP,OMP,2000,4000,20,1,3,0.031410,0.000288,0.000000
Opt_SMP,OMP,2000,4000,32,1,1,0.043498,0.000456,0.000000
Opt_SMP,OMP,2000,4000,32,1,2,0.044612,0.000454,0.000000
Opt_SMP,OMP,2000,4000,32,1,3,0.044363,0.000455,0.000001
Opt_SMP,OMP,2000,4000,64,1,1,0.078776,0.000896,0.000000
Opt_SMP,OMP,2000,4000,64,1,2,0.076324,0.000894,0.000000
Opt_SMP,OMP,2000,4000,64,1,3,0.076600,0.000897,0.000000
Opt_SMP,OMP,2000,4000,128,1,1,0.155397,0.001800,0.000000
Opt_SMP,OMP,2000,4000,128,1,2,0.157388,0.001794,0.000000
Opt_SMP,OMP,2000,4000,128,1,3,0.157353,0.001798,0.000000
Opt_SMP,OMP,4000,2000,3,1,1,0.018087,0.000017,0.000000
Opt_SMP,OMP,4000,2000,3,1,2,0.018070,0.000018,0.000000
Opt_SMP,OMP,4000,2000,3,1,3,0.018123,0.000018,0.000000
Opt_SMP,OMP,4000,2000,6,1,1,0.024235,0.000029,0.000000
Opt_SMP,OMP,4000,2000,6,1,2,0.024280,0.000029,0.000000
Opt_SMP,OMP,4000,2000,6,1,3,0.024268,0.000028,0.000000
Opt_SMP,OMP,4000,2000,8,1,1,0.019989,0.000035,0.000000
Opt_SMP,OMP,4000,2000,8,1,2,0.019933,0.000035,0.000000
Opt_SMP,OMP,4000,2000,8,1,3,0.020022,0.000035,0.000000
